@relation answerExp1
@attribute AnswerType STRING
@attribute Question STRING
@data
"LOC:city" , "what colorado city owns its own glacier" 
"NUM:money" , "how much does it cost average or whatever is available to produce and send junk mail catalogues in the us dt cd nn nn" 
"HUM:ind" , "who is the current un secretary general" 
"LOC:other" , "where did guinea pigs originate" 
"LOC:country" , "what two countries coastlines border the bay of biscay" 
"NUM:date" , "when was the slinky invented" 
"HUM:ind" , "what are the characters names in the cartoon" 
"HUM:ind" , "which is the only dick tracy villain to appear three times" 
"LOC:city" , "what european capital celebrated its anniversary in" 
"LOC:country" , "what country was the setting of you only live twice" 
"NUM:perc" , "what was thatcher approval rating after years in power" 
"NUM:count" , "how many calories are in a tomato" 
"LOC:state" , "in what state was the first college established" 
"LOC:country" , "what country in latin america is the largest one" 
"LOC:other" , "on which hawaiian island is pearl harbor" 
"HUM:ind" , "what feathered cartoon characters do yugoslavians know as vlaja gaja and raja" 
"NUM:date" , "when was dick clark born" 
"NUM:other" , "what is the death toll of people dying from tuberculosis" 
"LOC:city" , "what city is wiener schnitzel named for" 
"LOC:other" , "what desert has the highest sand dunes" 
"LOC:country" , "what two countries contain sierra nevada mountains" 
"NUM:period" , "how long was the tv mission of star trek enterprise to be" 
"NUM:code" , "what phone number can i call to have a tree planted" 
"NUM:date" , "when did the banner become the national anthem" 
"LOC:other" , "what continent name appears on the upper left corner of a budweiser label" 
"HUM:ind" , "who was the secretary of war in the civil war during the battle of gettysburg" 
"HUM:ind" , "who did bobby fischer beat to win the world chess championship" 
"LOC:other" , "where can i get information and statistics on countries and nations" 
"NUM:date" , "what day is august" 
"LOC:other" , "where can i find a list of all the companies in america that offer a direct stock purchase plan" 
"NUM:volsize" , "how big is a quart" 
"LOC:country" , "what country was a terrible beauty to leon uris" 
"LOC:other" , "where can i buy a hat like the kind jay kay from jamiroquai wears" 
"HUM:ind" , "name the lawyer for randy craft" 
"LOC:other" , "what is the homelite home page" 
"LOC:other" , "what mountainous region of the world is the lhasa apso dog native to" 
"NUM:period" , "how long does it take light to reach the earth from the sun" 
"HUM:ind" , "who lives at stone canyon way" 
"NUM:count" , "how many questions are on this thing" 
"HUM:ind" , "who played humpty dumpty in the film alice in wonderland" 
"HUM:ind" , "who is karenna gore al gore oldest daughter married to" 
"HUM:ind" , "who played the title role in i was a teenage werewolf" 
"NUM:date" , "in what year did hitler gain power of germany" 
"NUM:date" , "what year did rossetti paint beata beatrix" 
"LOC:other" , "where can i find information about touring the philippines" 
"NUM:count" , "how many square feet is bill gates home" 
"HUM:ind" , "what is the name of actor rex harrison son who starred in a modestly popular tv show during the late" 
"HUM:ind" , "who was the inventor of the stove" 
"HUM:ind" , "what comedian has a legendary reputation for stealing jokes" 
"LOC:other" , "where can i find information on the cyclone that hit new jersey on" 
"NUM:date" , "boxing day is celebrated on what date" 
"HUM:ind" , "who was the king who was forced to agree to the magna carta" 
"HUM:ind" , "who was made the first honorary citizen of the" 
"LOC:other" , "where was richard nixon when gerald ford became president" 
"NUM:ord" , "where does the rank among world countries in area" 
"NUM:perc" , "what was the target rate for growth in" 
"HUM:ind" , "name of scholar on whose literal translations from the chinese and japanese ezra pound depended" 
"NUM:date" , "when did israel begin turning the gaza strip and jericho over to the plo" 
"HUM:ind" , "name the on stage character whose face was never seen" 
"NUM:count" , "how much energy is released when oxygen and hydrogen mix" 
"HUM:ind" , "who is known as the world oldest teenager" 
"LOC:other" , "what are the largest breweries in the world" 
"LOC:country" , "what country and western singer is known as the silver fox" 
"LOC:other" , "what building appropriately enough is depicted on the back of the bill" 
"HUM:ind" , "what baseball team owner and sailor is known as the mouth of the south" 
"HUM:ind" , "who was with patricia hearst the night she was kidnaped" 
"HUM:ind" , "what is the viking prince first name" 
"LOC:other" , "where is rider college located" 
"HUM:ind" , "what boxer life story is titled raging bull" 
"HUM:ind" , "who advised listeners to see the in your chevrolet" 
"LOC:other" , "where was the first restaurant" 
"LOC:other" , "where can i find full written draft of ctbt" 
"NUM:count" , "how many horses died during the civil war" 
"NUM:count" , "how much waste does an average dairy cow produce in a day" 
"HUM:ind" , "what nobel laureate was expelled from the philippines before the conference on east timor" 
"HUM:ind" , "what woman has carried the most multiple births twins triplets etc" 
"NUM:count" , "how many minutes were there on the original ge college bowl clock" 
"NUM:period" , "what is the average time it takes for a male to ejaculate" 
"LOC:other" , "what is website of the international court of justice" 
"LOC:other" , "where are of the highest mountains in the world" 
"LOC:other" , "where can i look at a perpetual calendar" 
"NUM:count" , "how many astronauts have been on the moon" 
"NUM:date" , "in what year did the bounty mutiny happen" 
"HUM:ind" , "which bourbon king was restored to the french throne during napoleon abdication" 
"LOC:city" , "what is one of the cities that the university of minnesota is located in" 
"HUM:ind" , "what daughter of henry viii and anne boleyn became queen of england" 
"LOC:other" , "what is the most useful site on the internet" 
"LOC:mount" , "what is the world highest peak" 
"HUM:ind" , "what comedienne upstaged dwight eisenhower first inauguration by giving birth to her first child" 
"NUM:date" , "when were the olympic games in which nadia comaneci became popular played" 
"LOC:other" , "where is hearst castle built by publisher william randolph hearst" 
"LOC:city" , "what the largest city on the great lakes" 
"HUM:ind" , "who sang about desmond and molly jones" 
"HUM:ind" , "what costume designer decided that michael jackson should only wear one glove" 
"NUM:count" , "how many rows of sprocket holes does a roll of film have" 
"NUM:count" , "what is the goat population of the world" 
"LOC:other" , "what sea separates naples and algiers" 
"NUM:count" , "how many lawyers are there in the state of new jersey" 
"HUM:ind" , "name the blind sculptress in love with the fantastic four thing" 
"HUM:ind" , "what national basketball association superstar told his story in giant steps" 
"NUM:date" , "when did fraze get his first patent for the can" 
"NUM:count" , "how many games are played in a tournament" 
"HUM:ind" , "who developed the first polio vaccine" 
"HUM:ind" , "who made the first gas engine" 
"LOC:country" , "what country claimed rubens van dyck and bruegel as citizens" 
"NUM:count" , "how many questions do you have on your database" 
"LOC:other" , "where can i find examples of legal cases about the individuals with disabilities education act" 
"HUM:ind" , "what character did tex avery first create upon arriving at mgm" 
"NUM:date" , "when was the triangle shirtwaist fire" 
"HUM:ind" , "what asian spiritual and political leader was married at the age of" 
"LOC:other" , "where is ocho rios" 
"LOC:other" , "what ocean does mauritania border" 
"LOC:country" , "what country is kosovo a part of" 
"LOC:city" , "tell me what city the kentucky horse park is near" 
"LOC:other" , "what is bill gross email address" 
"HUM:ind" , "what english queen had seventeen children" 
"NUM:other" , "what is the approximate population of las vegas" 
"NUM:money" , "how much does the president get paid" 
"HUM:ind" , "what two baseball players make up the battery" 
"NUM:perc" , "of children between the ages of two and eleven what percentage watch the simpsons" 
"LOC:state" , "what the northernmost state apart from alaska" 
"LOC:other" , "name an art gallery in new york" 
"HUM:ind" , "who sells viagra" 
"LOC:other" , "what building are british monarchs crowned in" 
"HUM:ind" , "who did dita beard work for" 
"LOC:country" , "what country was first to use the airplane as a weapon of war against the turks in libya" 
"HUM:ind" , "who served as inspiration for the schoolteacher portrayed by robin williams in dead poets society" 
"NUM:code" , "what is columbia tristar phone number" 
"HUM:ind" , "which one of the original seven mercury program astronauts did not fly on any of the mercury flights" 
"HUM:ind" , "who is the best known villain of the gunpowder plot" 
"LOC:city" , "what is the capital of burkina faso" 
"LOC:other" , "what continent is bolivia on" 
"HUM:ind" , "who killed more people hitler or stalin" 
"LOC:state" , "what state has the most blondes" 
"NUM:count" , "what was the highway death toll in" 
"HUM:ind" , "what mustachioed comedian portrayed frankie in north to alaska" 
"NUM:money" , "what does each of the utilities cost in monopoly" 
"HUM:ind" , "what actor and world war ii airman had a bounty put on his head by hermann goering" 
"LOC:city" , "what city is often called the insurance capital of the world" 
"HUM:ind" , "who portrayed dracula in hammer studios films" 
"NUM:date" , "when were fish first believed to be found on earth" 
"HUM:ind" , "what president favorite biblical quotation was come now and let us reason together" 
"NUM:count" , "how many elevators do you ride to reach the top floor of the empire state building" 
"LOC:country" , "what country was sir edmund hillary born in" 
"LOC:city" , "what city was john kennedy nominated for president in" 
"NUM:period" , "how long does a dog sleep" 
"NUM:money" , "what can you be fined for having a dog on a beach" 
"LOC:other" , "where did the battle of the bulge take place" 
"NUM:count" , "how much will the california be in the year" 
"HUM:ind" , "what mystery writer penned the glory that was greece and the grandeur that was rome" 
"LOC:state" , "what state full of milk and honey was the destination in the grapes of wrath" 
"LOC:other" , "what is the tallest building in japan" 
"LOC:other" , "where is sinn fein headquarters" 
"NUM:date" , "the iraqis launched their attack on kuwait on what day" 
"LOC:country" , "what country northernmost city is darwin" 
"LOC:other" , "what sound does olympia washington overlook" 
"LOC:city" , "what kentucky city calls itself the horse center of america" 
"NUM:count" , "how many are there on a trivial pursuit game board" 
"LOC:country" , "what european country boasts the city of furth found where the rivers rednitz and pegnitz converge" 
"LOC:state" , "what state is dixville notch in" 
"LOC:other" , "where was the cisalpine republic" 
"LOC:other" , "what is the largest shopping mall in the world" 
"HUM:ind" , "what is the protagonist name in dostoevski the idiot" 
"HUM:ind" , "what presidential press secretary dismissed watergate as a burglary attempt" 
"HUM:ind" , "which of these are authors" 
"HUM:ind" , "who was the original humpty dumpty" 
"LOC:other" , "where is the location of the orange bowl" 
"NUM:date" , "when is president nixon birthday" 
"HUM:ind" , "whose cupboard was bare" 
"LOC:other" , "what are the seven seas" 
"HUM:ind" , "what the name of popeye adopted son" 
"HUM:ind" , "who invented the vacuum cleaner" 
"HUM:ind" , "what fictional character attends pencey prep school" 
"NUM:count" , "how many people in the usa say their number one source of information is the newspaper" 
"HUM:ind" , "who does shakespeare antonio borrow ducats from" 
"LOC:country" , "which country is known as big bear" 
"NUM:count" , "how many times a day should you take a prescription marked" 
"HUM:ind" , "who is the voyager project manager" 
"HUM:ind" , "what two commanders directed the forces in the battle of el alamein" 
"HUM:ind" , "name the creator of the muppets" 
"HUM:ind" , "who replies i know to princess leia confession i love you in the empire strikes back" 
"LOC:other" , "what the home of the rockettes" 
"LOC:other" , "where can i find all the information i need to know about the english civil war" 
"HUM:ind" , "who won the academy award for best actor" 
"HUM:ind" , "name the first private citizen to fly in space" 
"HUM:ind" , "what was football star elroy hirsch nickname" 
"HUM:ind" , "what singer sings oh boy" 
"NUM:count" , "how much pizza do americans eat in a day" 
"LOC:other" , "what is the website for the usa journal" 
"LOC:state" , "what state has the coastline" 
"LOC:state" , "what state home to the buffalo bill historical center" 
"NUM:speed" , "how fast do cheetahs run" 
"NUM:speed" , "how fast is a processor" 
"HUM:ind" , "what count did alexandre dumas write about" 
"NUM:perc" , "what are the odds of giving birth to twins" 
"LOC:other" , "what is the largest natural lake in pennsylvania" 
"NUM:dist" , "how far is london uk from california" 
"NUM:count" , "how many years old is benny carter" 
"LOC:other" , "where does the santa fe trail begin and end" 
"LOC:city" , "which city in canada is the" 
"NUM:period" , "how old is stevie wonder" 
"HUM:ind" , "who was the first taiwanese president" 
"HUM:ind" , "who is luke skywalker father" 
"LOC:other" , "where is the isle of man" 
"NUM:other" , "what was the death toll at the eruption of mount pinatubo" 
"NUM:date" , "when will the millennium officially begin" 
"HUM:ind" , "who created the comic strip garfield" 
"HUM:ind" , "which vietnamese terrorist is now a un delegate in doonesbury" 
"LOC:other" , "what do we call the imaginary line along the top of the rocky mountains" 
"LOC:country" , "what country capital is lagos" 
"LOC:other" , "where does ray bradbury chronicles take place" 
"HUM:ind" , "who is the current prime minister and president of russia" 
"HUM:ind" , "who established a viking colony in greenland about" 
"NUM:other" , "what is the latitude and longitude of el paso texas" 
"LOC:other" , "where can i get information about cystic fibrosis" 
"LOC:other" , "where did honecker rule" 
"NUM:period" , "what is the life span of the average monkey" 
"NUM:count" , "how many member states are in the un" 
"HUM:ind" , "who shot and killed himself while painting wheatfield with crows" 
"HUM:ind" , "what future president became senate majority whip under harry truman" 
"HUM:ind" , "who was the architect of central park" 
"NUM:dist" , "what are the dimensions of an ice hockey goal" 
"NUM:date" , "when was cnn first broadcast" 
"LOC:country" , "what african country is governed from ouagadougou" 
"HUM:ind" , "what was the christian name of the title character in our miss brooks" 
"HUM:ind" , "what hearing artist painted sunflowers" 
"HUM:ind" , "who wrote sons and lovers" 
"LOC:city" , "what french seaport claims to be the home of wines" 
"NUM:period" , "how long does it take sunlight to reach earth" 
"NUM:count" , "how many milliseconds in a second" 
"HUM:ind" , "what cherokee indian gave his name to a tree" 
"NUM:date" , "when were camcorders introduced in malaysia" 
"NUM:perc" , "what is the chance of conceiving quadruplets" 
"HUM:ind" , "who was the star of leave it to beaver" 
"LOC:country" , "what countries have the largest armed forces in the world" 
"HUM:ind" , "what was william cody name" 
"HUM:ind" , "who did richard nixon tender his resignation to" 
"HUM:ind" , "which of the following rock n roll stars has a star on hollywood boulevard" 
"NUM:money" , "what is the exchange rate for australian to american money" 
"NUM:count" , "how many states did richard nixon carry in" 
"NUM:count" , "how many shillings more than were there in a guinea" 
"HUM:ind" , "who took over as conductor of the boston pops after arthur fiedler long reign" 
"HUM:ind" , "what nazi leader killed himself in jail just before he was to be executed as a war criminal" 
"NUM:other" , "what brand number graces the black label of a bottle of jack daniel" 
"LOC:city" , "what city is terrorized by dracula in the night stalker" 
"HUM:ind" , "who is the fastest guitarist" 
"LOC:other" , "what is the best hospital for orthopedics in the country" 
"HUM:ind" , "who betrayed norway to the nazis" 
"HUM:ind" , "who took the toys donated for the doodyville orphans fund and kept them for himself" 
"HUM:ind" , "who were the picts" 
"HUM:ind" , "who is stationed at camp swampy in the comic strips" 
"NUM:date" , "in what year did china and the republic of korea establish diplomatic relations" 
"NUM:dist" , "how tall is the giraffe" 
"HUM:ind" , "what actor dressed up as santa claus and had a affair with actress shelley winters every christmas for many years" 
"NUM:period" , "how long did it take stanley to find livingstone" 
"NUM:count" , "how much of the nation children between the ages of two and eleven watch the simpsons" 
"LOC:other" , "what lake is sheboygan on" 
"LOC:other" , "what is the largest lake in north america" 
"NUM:count" , "how many people died because of a smoking problem in" 
"HUM:ind" , "who wrote the look of love after viewing ursula andress" 
"HUM:ind" , "what is the name of the american swimmer who won seven gold medals in the olympics" 
"HUM:ind" , "who claims to have the greatest show on earth" 
"HUM:ind" , "what honeymooners actress did television magazine name as most promising star" 
"HUM:ind" , "what was the role of the medieval guild" 
"HUM:ind" , "silly putty was invented by whom" 
"HUM:ind" , "who invented the paper clip" 
"HUM:ind" , "whom did lauren bacall marry after her husband humphrey bogart died" 
"NUM:count" , "how many times in his national basketball associaton career was john havlicek a member of the team" 
"LOC:city" , "what city or state do the most gay men live in" 
"NUM:period" , "shea and gould had an office in los angeles for how long before closing it" 
"NUM:date" , "what year did degas create the bronze sculpture fourth position front" 
"HUM:ind" , "what composer was awarded the medal of honor by franklin roosevelt" 
"NUM:count" , "how many url extensions are there and what are they" 
"NUM:period" , "how long after intercourse does it take to find out if you are pregnant" 
"HUM:ind" , "who created the fantastic four hulk and thor" 
"HUM:ind" , "who is the composer of canon in d major" 
"LOC:other" , "where are all european and american eels born" 
"HUM:ind" , "who was the author of the novel far from the madding crowd" 
"HUM:ind" , "what department store heir is responsible for raising a safe from the underwater wreckage of the andrea doria" 
"LOC:city" , "what was the first town to be chartered in vermont" 
"LOC:state" , "what state has the longest great lakes shoreline" 
"LOC:state" , "what state ends with a g" 
"NUM:count" , "how many varieties of twins are there" 
"LOC:other" , "what are the largest libraries in the us" 
"NUM:count" , "how many people live in the falklands" 
"HUM:ind" , "who was camp david named for" 
"HUM:ind" , "who portrayed the man without a face in the movie of the same name" 
"NUM:money" , "how much money was the minimum wage in" 
"NUM:date" , "in what year was the first patent for the opener on cans obtained" 
"LOC:country" , "what country boasts the most dams" 
"NUM:money" , "what is the regular price" 
"LOC:other" , "what metropolis landmark was first introduced in the superman cartoons of the" 
"LOC:other" , "where can one find mozambique" 
"LOC:city" , "in what city is the us declaration of independence located" 
"HUM:ind" , "who won the first world series" 
"HUM:ind" , "who was credited with saying i never met a man i did like" 
"LOC:country" , "what nationality was jackson pollock" 
"NUM:count" , "how much of the earth surface is permanently frozen" 
"NUM:date" , "when was queen victoria born" 
"NUM:count" , "how many people were executed for abraham lincoln assassination" 
"LOC:other" , "what is worth seeing in reims" 
"NUM:date" , "when was yemen reunified" 
"HUM:ind" , "what mexican leader was shot dead in" 
"NUM:money" , "what is the federal minimum wage" 
"NUM:other" , "what are the unemployment statistics for the years and" 
"LOC:other" , "where is santa lucia" 
"HUM:ind" , "what female painter produced primitives of rural new england life" 
"HUM:ind" , "what are names of two old men who appear in the serial tv muppets show" 
"NUM:other" , "what is the horsepower of the shuttle boosters" 
"NUM:date" , "what year did apartheid start" 
"HUM:ind" , "who created big ben" 
"LOC:city" , "what city is found in the city of oz" 
"LOC:state" , "what populous state covers square miles" 
"LOC:state" , "in what state was there an million gallon oil spill" 
"NUM:date" , "when did aldous huxley write brave new world" 
"LOC:country" , "what country did the ancient romans refer to as hibernia" 
"NUM:period" , "how long was the longest hiccup attack" 
"NUM:count" , "how many people live in tokyo" 
"HUM:ind" , "what actress was known as the brazilian bombshell" 
"HUM:ind" , "who played the title role in my favorite martian" 
"HUM:ind" , "who invented the game scrabble" 
"NUM:date" , "when did humans first begin to write history seriously" 
"LOC:city" , "what city in the experienced the most growth recently" 
"LOC:other" , "what tokyo street glitters with famed department stores and nightclubs" 
"NUM:period" , "what was the average life expectancy during the stone age" 
"HUM:ind" , "when mighty mouse was conceived what was his original name" 
"NUM:count" , "how many presidents were assassinated during queen victoria reign" 
"NUM:date" , "when was the first flush toilet invented" 
"HUM:ind" , "what is nathan hamill role in the new star wars prequel" 
"NUM:count" , "how many disks does each player have in a game of crokinole" 
"NUM:period" , "how old is the sun" 
"NUM:perc" , "what percentage of children between the ages of two and eleven watch the simpsons" 
"NUM:count" , "how many years ago did led zeppelin release its last album" 
"NUM:count" , "how many people was randy craft convicted of killing" 
"LOC:country" , "what country are you in if you woo in the wu dialect" 
"HUM:ind" , "what new york yankee was known as the iron horse" 
"HUM:ind" , "who is considered the first lady of the american stage" 
"HUM:ind" , "who penned neither a borrower nor a lender be" 
"HUM:ind" , "who headed hitler infamous gestapo" 
"LOC:city" , "what south american city features the exclusive copacabana beach and ipanema" 
"LOC:city" , "what german city do italians call the monaco of bavaria" 
"LOC:other" , "what island group contains jersey guernsey sark and herm" 
"HUM:ind" , "what is a person called that likes fire" 
"LOC:other" , "where was helium first discovered hence its name" 
"HUM:ind" , "who made the musical plea be true to your school" 
"HUM:ind" , "what french designer declared the jean is the destructor it is a dictator it is destroying creativity the jean must be stopped" 
"NUM:date" , "what season is the setting for shakespeare midsummer night dream" 
"HUM:ind" , "what comedian was banned from the ed sullivan show for allegedly making an obscene gesture at the show host" 
"LOC:country" , "what country is the setting for edgar allan poe the pit and the pendulum" 
"HUM:ind" , "what apollo astronaut minded the store while armstrong and aldrin made history" 
"NUM:money" , "what is the current ticket fare from from cairo to barbados" 
"LOC:mount" , "what is the second highest mountain peak in the world" 
"HUM:ind" , "what good little witch is casper girlfriend" 
"HUM:ind" , "what was the nickname of frederick i holy roman emperor and king of germany" 
"NUM:date" , "what month date and year did charles i die" 
"NUM:count" , "how many cubic feet of space does a gallon of water occupy" 
"LOC:other" , "what the world largest cathedral" 
"LOC:country" , "what three european countries begin with the letter a" 
"NUM:count" , "how many earthworms are in a single pasture" 
"HUM:ind" , "who made stonehenge" 
"NUM:other" , "what is the average hourly rate of american workers" 
"HUM:ind" , "who the founder and editor of the national review" 
"NUM:date" , "in what year did they build the berlin wall" 
"HUM:ind" , "who was the first governor of west virginia" 
"LOC:other" , "what the world longest suspension bridge" 
"LOC:city" , "what asian city boasts the world biggest bowling alley" 
"NUM:date" , "when will jean aeul publish her next book" 
"HUM:ind" , "what famous soldier was born in europe died in asia and was laid to rest in africa" 
"LOC:city" , "what were the first three cities to have a population of more than a million" 
"LOC:other" , "what constellation contains the twins castor and pollux" 
"NUM:count" , "how many meters are in a mile" 
"LOC:other" , "what famed london criminal court was once a feudal castle" 
"NUM:count" , "how many milligrams are in a gram" 
"LOC:other" , "where did he get the title" 
"LOC:other" , "where can i find a large list of to letter words" 
"HUM:ind" , "what is michael jackson middle name" 
"HUM:ind" , "who was the first woman to fly solo across the atlantic" 
"NUM:period" , "how long is human gestation" 
"LOC:other" , "where does mother angelica live" 
"NUM:other" , "what the population of mississippi" 
"HUM:ind" , "who started the dominos pizza chain" 
"NUM:period" , "how old is jeremy piven" 
"HUM:ind" , "which nba players had jersey number" 
"NUM:count" , "how many colored squares are there on a rubik cube" 
"LOC:other" , "where is the mayo clinic" 
"LOC:other" , "what caribbean island is sometimes called little england" 
"LOC:other" , "where is amsterdam" 
"LOC:other" , "where can i find the lyrics for the song getting married today from the musical company" 
"HUM:ind" , "who is the famous movie star who also acted as sewer commissioner of provo canyon utah" 
"LOC:city" , "what australian city became the home of the america cup" 
"HUM:ind" , "name randy craft lawyer" 
"LOC:other" , "what river does the grand coulee dam dam" 
"NUM:other" , "how often are quadruplets born" 
"NUM:count" , "how many presidents have died on the of july" 
"HUM:ind" , "what is a person called that likes fire" 
"HUM:ind" , "who portrayed vincent van gogh in lust for life" 
"LOC:other" , "what is a reliable site that i can download heretic" 
"NUM:date" , "what season begins with the vernal equinox" 
"HUM:ind" , "who was known as the time master in comic books" 
"LOC:other" , "where did cable cars first roll down clay street in" 
"LOC:other" , "what is george lucas address" 
"HUM:ind" , "who is the father of the computer" 
"HUM:ind" , "who said old soldiers never die they just fade away" 
"NUM:dist" , "how long were tyrannosaurus rex teeth" 
"HUM:ind" , "who the only man to have won the olympic decathlon twice" 
"LOC:city" , "what kenyan city is the safari center for east africa" 
"HUM:ind" , "what is the name of miss india" 
"LOC:state" , "what four states have active volcanoes" 
"HUM:ind" , "who was the second man to walk on the moon" 
"HUM:ind" , "what major victorian novelist spent as much time working for the post office as he did writing" 
"NUM:date" , "what year were the olympic games played in where nadia comaneci became popular" 
"LOC:other" , "what are the biggest indian airports" 
"LOC:other" , "what are the world three largest oceans in order of size" 
"HUM:ind" , "who is the pope" 
"LOC:other" , "where on the internet can i find information on laundry detergent" 
"NUM:count" , "the shea gould law firm had an office in for how many years" 
"HUM:ind" , "what the most common surname in america" 
"NUM:period" , "how long does it take the typical american to eat quarts of ice cream" 
"LOC:city" , "what city is sometimes called the athens of switzerland" 
"LOC:other" , "where did bocci originate" 
"LOC:other" , "where can i find information about bob barr representative from georgia" 
"NUM:other" , "what is the frequency of vhf" 
"NUM:count" , "how many electoral votes does it take to win presidency" 
"LOC:city" , "what were the cities of dickens a tale of two cities" 
"NUM:date" , "in what year was the movie the ten commandments released" 
"LOC:country" , "what countries have the best math students" 
"NUM:date" , "when was the de beers company founded" 
"HUM:ind" , "who was the first black performer to have his own network tv show" 
"NUM:date" , "what is the date of bastille day" 
"LOC:other" , "where did freidreich wilhelm ludwig leichhardt prussian born explorer go to school" 
"NUM:count" , "how much folic acid should an expectant mother get daily" 
"NUM:count" , "how much caffeine is in a oz cup of coffee" 
"LOC:country" , "what two countries in south america are landlocked" 
"NUM:code" , "what is columbia tristar phone number" 
"NUM:date" , "when did princess diana and prince charles get married" 
"LOC:country" , "which country did hitler rule" 
"HUM:ind" , "who directed the wild bunch" 
"LOC:city" , "the orange bowl is in what city" 
"HUM:ind" , "what comedian was born allen stewart konigsberg" 
"NUM:count" , "how many leos have been pope" 
"LOC:state" , "what state was herbert hoover born in" 
"NUM:count" , "how many fiddlers did old king cole have" 
"HUM:ind" , "what poet wrote i have promises to keep and miles to go before i sleep" 
"NUM:count" , "what is the population in india" 
"NUM:period" , "how long do flies live" 
"HUM:ind" , "who runs andy capp favorite pub" 
"LOC:state" , "what state produces the best lobster to eat" 
"NUM:count" , "how many times a day does the typical person go to the bathroom" 
"LOC:other" , "what islands got their name from the spanish baja mar meaning shallow water" 
"HUM:ind" , "what author of the days of our lives cookbook signed on in as liz chandler in tv days of our lives" 
"HUM:ind" , "what president was assassinated by charles guiteau" 
"HUM:ind" , "what comic of tv golden age went by the motto anything for a laugh" 
"NUM:count" , "how many feet long is a baseball pitcher rubber" 
"LOC:country" , "what was the nationality of jackson pollock" 
"HUM:ind" , "who invented the game bowling" 
"NUM:count" , "how many times larger than life size is the statue of liberty" 
"LOC:country" , "what is the name of the country which hitler ruled" 
"NUM:period" , "how long does a human live" 
"LOC:other" , "where can i get economic statistics" 
"NUM:count" , "how many superbowls have the ers won" 
"HUM:ind" , "who is the creator of the muppets" 
"HUM:ind" , "which of the following celebrities started his career as a disc jockey" 
"NUM:other" , "what a perfect score in a gymnastics exercise" 
"LOC:city" , "what the capital of iowa" 
"HUM:ind" , "who asked you to do the with her in" 
"HUM:ind" , "what president served for five years six months and days" 
"HUM:ind" , "what is drew barrymore middle name" 
"HUM:ind" , "what is supergirl secret identity" 
"LOC:other" , "what is the us federal government website for standard industrial classification codes sic" 
"HUM:ind" , "who made the first surfboard" 
"HUM:ind" , "what is the name of the police officer who tried to keep order in top cat neighborhood" 
"NUM:date" , "on what date did rosa parks become a symbol of the civil rights movement for refusing to give up her seat on the bus" 
"NUM:perc" , "what are the odds on a roulette table" 
"NUM:date" , "in what year did the us marine corps adopt the motto semper fidelis" 
"NUM:count" , "how many films did ingmar bergman make" 
"HUM:ind" , "who is the greek god of the sea" 
"HUM:ind" , "what music personality is the father of an adopted son named hans christian henderson" 
"NUM:date" , "when was the first barbie produced" 
"HUM:ind" , "who was the first woman governor of wyoming" 
"NUM:count" , "how many more weeks of winter are there if a ground hog sees his shadow" 
"HUM:ind" , "what green bay packers coach philosophized there nothing that stokes the fire like hate" 
"LOC:other" , "where is the henry ford museum" 
"NUM:date" , "what year did nylon stockings first go on sale" 
"LOC:city" , "what are the largest cities in the us" 
"HUM:ind" , "what famous comedian recently tried without success to revive the play" 
"LOC:other" , "what is drew barrymore email address" 
"LOC:country" , "what nationality were the people who died in the black hole of calcutta" 
"HUM:ind" , "what tv family sometimes buys eclairs from nelson bakery" 
"HUM:ind" , "what enigmatic vice president was once tried and acquitted for treason in a plot to set up his own independent empire in the west" 
"HUM:ind" , "who was charles lindbergh wife" 
"HUM:ind" , "who sings angel eyes from the" 
"NUM:date" , "when did the jurassic period end" 
"NUM:date" , "what was the date of iraq invasion of kuwait" 
"LOC:other" , "what is the name of the planet that the ewoks live on" 
"HUM:ind" , "what character did maurice gosfield play on the phil silvers show" 
"LOC:other" , "what sea surrounds the cayman islands" 
"NUM:count" , "how many different vegetation zones are there" 
"LOC:other" , "what ocean was amelia earhart flying over when she disappeared" 
"HUM:ind" , "what was the nickname of german flying ace manfred von richthofen" 
"LOC:country" , "what country other than germany invaded poland in september" 
"NUM:date" , "when was the bill of rights ratified" 
"LOC:state" , "what is the largest state east of the mississippi" 
"NUM:other" , "what the population of biloxi mississippi" 
"LOC:other" , "what california desert is dubbed high desert" 
"HUM:ind" , "who wrote hamlet" 
"LOC:other" , "where do the blackhawks maintain their operations" 
"LOC:country" , "what african country was founded by freed american slaves in" 
"NUM:date" , "what year did the first issue of playboy come out" 
"LOC:city" , "the orange bowl is located in what city" 
"HUM:ind" , "what pseudonym did william sydney porter use in writing the gift of the magi" 
"HUM:ind" , "what is the last name of lucy and linus from the peanut comic strip" 
"HUM:ind" , "what cheery fellow got the zip code from the postal service in" 
"NUM:count" , "how many layers does a bottle of settle into" 
"LOC:other" , "what the nearest star to earth" 
"LOC:other" , "where is inoco based" 
"NUM:count" , "what was the number of assassinations and attempts to assassinate in the since" 
"NUM:count" , "how many stations do you shoot from in the basketball game around the world" 
"HUM:ind" , "who was the russian ambassador to hungary during the uprising" 
"HUM:ind" , "who holds the nfl record for most touchdowns in a season" 
"NUM:period" , "what is the average age a horse lives" 
"LOC:other" , "what planet would you visit to see bebrenia arcadia and amazonis" 
"LOC:other" , "where is natick" 
"HUM:ind" , "who wrote the pines of rome" 
"LOC:other" , "where is the valley of the kings" 
"LOC:other" , "where did the sport of originate" 
